Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;CustomersCount;Mean;Error;StdDev;Ratio;RatioSD;Rank;Gen 0;Gen 1;Gen 2;Allocated;Completed Work Items;Lock Contentions
MapWithAgileMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;"24,839.35 μs";341.843 μs;285.455 μs;1.05;0.03;3;1656.2500;687.5000;187.5000;9011.71 KB;0.0625;0.0000
MapWithAutoMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;"32,357.74 μs";630.562 μs;"1,650.072 μs";1.44;0.09;4;1562.5000;656.2500;187.5000;8490.65 KB;0.0625;0.0000
MapWithExpressMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;"35,689.33 μs";710.686 μs;846.022 μs;1.55;0.07;5;2142.8571;857.1429;214.2857;11970.56 KB;0.1429;0.0000
MapWithTinyMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;"47,996.60 μs";948.492 μs;"1,298.306 μs";2.10;0.12;6;2454.5455;909.0909;181.8182;13882.18 KB;0.1818;0.0000
MapWithManualMapping;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;"227,108.69 μs";"4,503.014 μs";"8,119.862 μs";1.00;0.00;1;13333.3333;4333.3333;0.0000;81869.42 KB;1.0000;0.0000
MapWithAgileMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;"231,308.55 μs";"6,122.542 μs";"17,762.606 μs";1.01;0.09;1;14000.0000;5000.0000;0.0000;86380.41 KB;3.0000;0.0000
MapWithAutoMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;"241,213.06 μs";"5,733.373 μs";"16,904.981 μs";1.08;0.09;2;13000.0000;4000.0000;0.0000;80040.34 KB;3.0000;0.0000
MapWithMapster;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;"243,726.87 μs";"3,502.313 μs";"3,104.709 μs";1.09;0.04;2;12750.0000;4500.0000;250.0000;76546.07 KB;0.7500;0.0000
MapWithExpressMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;"343,203.19 μs";"6,702.853 μs";"15,799.412 μs";1.53;0.11;3;19000.0000;6000.0000;0.0000;116856.67 KB;3.0000;0.0000
MapWithTinyMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;"441,387.90 μs";"8,008.066 μs";"7,864.991 μs";1.95;0.08;4;22000.0000;7000.0000;0.0000;134498.32 KB;3.0000;0.0000
MapWithMapster;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5000;"919,865.28 μs";"18,636.363 μs";"52,258.359 μs";0.88;0.07;1;65000.0000;22000.0000;0.0000;396969.99 KB;3.0000;0.0000
MapWithManualMapping;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5000;"1,042,796.25 μs";"20,585.571 μs";"50,882.430 μs";1.00;0.00;2;68000.0000;23000.0000;0.0000;414357.07 KB;3.0000;0.0000
MapWithAgileMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5000;"1,218,044.00 μs";"24,075.465 μs";"57,683.276 μs";1.17;0.08;3;69000.0000;23000.0000;0.0000;424018.48 KB;3.0000;0.0000
MapWithAutoMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5000;"1,482,704.49 μs";"29,103.582 μs";"58,790.672 μs";1.42;0.09;4;67000.0000;22000.0000;0.0000;410440.9 KB;3.0000;0.0000
MapWithExpressMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5000;"1,703,805.32 μs";"33,863.649 μs";"77,124.664 μs";1.63;0.10;5;96000.0000;33000.0000;0.0000;585714 KB;3.0000;0.0000
MapWithTinyMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5000;"2,289,378.72 μs";"45,091.275 μs";"67,490.497 μs";2.16;0.12;6;114000.0000;38000.0000;0.0000;697537.63 KB;3.0000;0.0000
